model,patient,threshold,fp_per_hour,sensitivity,precision
logistic,18,0.6548437457736986,84.01166828726213,0.6153846153846154,0.4489795918367347
logistic,18,0.6548138216461706,84.01166828726213,0.6158841158841158,0.4491803278688525
logistic,18,0.6537968070980417,84.12279483261565,0.6158841158841158,0.4488532945030943
logistic,18,0.6537868169236896,84.12279483261565,0.6163836163836164,0.44905385735080056
logistic,18,0.6533893802239146,84.40061119599945,0.6163836163836164,0.44823828550671996
logistic,18,0.653312199577745,84.40061119599945,0.6168831168831169,0.4484386347131445
logistic,18,0.6530885110081703,84.56730101402974,0.6168831168831169,0.4479506710192238
logistic,18,0.6530793795248185,84.56730101402974,0.6173826173826173,0.448150833937636
logistic,18,0.6528764490812234,84.78955410473678,0.6173826173826173,0.44750181028240404
logistic,18,0.652699985808948,84.78955410473678,0.6178821178821179,0.44770177343467243
logistic,18,0.650978754074582,85.40075010418114,0.6178821178821179,0.4459264599855804
logistic,18,0.6509165487064651,85.40075010418114,0.6183816183816184,0.4461261261261261
logistic,18,0.6501059941587213,86.12307264897903,0.6183816183816184,0.44404591104734575
logistic,18,0.650039888621762,86.12307264897903,0.6188811188811189,0.44424524919325925
logistic,18,0.6484122630939697,86.95652173913044,0.6188811188811189,0.44186875891583455
logistic,18,0.6483601599782006,86.95652173913044,0.6193806193806194,0.44206773618538325
logistic,18,0.647330640051477,87.40102792054452,0.6193806193806194,0.4408105225737647
logistic,18,0.6472759283627622,87.40102792054452,0.6198801198801199,0.4410092395167022
logistic,18,0.6471884159089931,87.45659119322129,0.6198801198801199,0.4408525754884547
logistic,18,0.6470325721870619,87.45659119322129,0.6208791208791209,0.4412495562655307
logistic,18,0.6460156312412334,88.12335046534241,0.6208791208791209,0.43937787203958995
logistic,18,0.6456971595537073,88.12335046534241,0.6223776223776224,0.4399717514124294
logistic,18,0.6443334024832985,89.01236282817058,0.6223776223776224,0.4375
logistic,18,0.644196818887515,89.01236282817058,0.6228771228771228,0.4376974376974377
logistic,18,0.6435824634184869,89.40130573690791,0.6228771228771228,0.436624649859944
logistic,18,0.6433593824352485,89.40130573690791,0.6233766233766234,0.43682184109205463
logistic,18,0.6428145614695312,89.6791221002917,0.6233766233766234,0.4360587002096436
logistic,18,0.6427703860938239,89.6791221002917,0.6238761238761239,0.43625567586447783
logistic,18,0.6416814908075098,90.06806500902904,0.6238761238761239,0.43519163763066204
logistic,18,0.6414962326450371,90.06806500902904,0.6243756243756243,0.43538836642284917
logistic,18,0.6388137367981834,91.34602028059453,0.6243756243756243,0.43192812715964063
logistic,18,0.6387721165283868,91.34602028059453,0.6248751248751249,0.43212435233160623
logistic,18,0.6384126660512559,91.6793999166551,0.6248751248751249,0.4312306101344364
logistic,18,0.6380597863050089,91.6793999166551,0.6253746253746254,0.43142660234321156
logistic,18,0.6366600493652568,92.2350326434227,0.6253746253746254,0.42994505494505497
logistic,18,0.6366408988703577,92.2350326434227,0.6258741258741258,0.43014074836937866
logistic,18,0.6345619540480716,93.5129879149882,0.6258741258741258,0.4267711171662125
logistic,18,0.6342302338633609,93.5129879149882,0.6268731268731269,0.42716133424098024
logistic,18,0.6341532801672756,93.56855118766497,0.6268731268731269,0.4270159918339571
logistic,18,0.6341160059368808,93.56855118766497,0.6273726273726273,0.4272108843537415
logistic,18,0.6332525631362674,93.84636755104876,0.6273726273726273,0.4264855687606112
logistic,18,0.6329692006027229,93.84636755104876,0.6278721278721279,0.42668024439918534
logistic,18,0.6319554894578089,94.5131268231699,0.6278721278721279,0.4249492900608519
logistic,18,0.631898587671512,94.5131268231699,0.6283716283716284,0.4251436296045962
logistic,18,0.6304480079578015,95.23544936796777,0.6283716283716284,0.42328398384925975
logistic,18,0.6302717924988851,95.23544936796777,0.6288711288711288,0.4234779683821056
logistic,18,0.630052965017595,95.40213918599807,0.6288711288711288,0.4230510752688172
logistic,18,0.6300348205435975,95.40213918599807,0.6293706293706294,0.423244877393349
logistic,18,0.6299434030240663,95.51326573135158,0.6293706293706294,0.4229607250755287
logistic,18,0.6299194192478496,95.51326573135158,0.6298701298701299,0.4231543624161074
logistic,18,0.6291121634573558,95.84664536741215,0.6298701298701299,0.42230408573342265
logistic,18,0.6290910751922061,95.84664536741215,0.6303696303696303,0.4224974891195179
logistic,18,0.6286733283813855,96.23558827614947,0.6303696303696303,0.42150968603874417
logistic,18,0.6284793509631167,96.23558827614947,0.6308691308691309,0.42170283806343906
logistic,18,0.6262807123972699,97.73579663842202,0.6308691308691309,0.4179351422898743
logistic,18,0.6261423721446558,97.73579663842202,0.6313686313686314,0.4181276877274231
logistic,18,0.6256153534703791,97.95804972912906,0.6313686313686314,0.4175751569210439
logistic,18,0.6255713491866316,97.95804972912906,0.6318681318681318,0.4177675033025099
logistic,18,0.6239887650496834,99.29156827337131,0.6318681318681318,0.41448230668414154
logistic,18,0.6239167035339673,99.29156827337131,0.6323676323676324,0.41467409105797576
logistic,18,0.6227202108853179,100.291707181553,0.6323676323676324,0.4122435688700749
logistic,18,0.6225919325377184,100.291707181553,0.6328671328671329,0.4124348958333333
logistic,18,0.6218638289334196,101.01402972635088,0.6328671328671329,0.4106969205834684
logistic,18,0.6218210280232689,101.01402972635088,0.6333666333666333,0.41088788075178223
logistic,18,0.6209292382962761,101.68078899847201,0.6333666333666333,0.4092963202065849
logistic,18,0.6208893630570707,101.68078899847201,0.6343656343656343,0.4096774193548387
logistic,18,0.6187336834248813,103.62550354215864,0.6343656343656343,0.405103668261563
logistic,18,0.6184725524456904,103.62550354215864,0.6348651348651349,0.40529336734693877
logistic,18,0.6184693183857732,103.6810668148354,0.6348651348651349,0.4051641695887791
logistic,18,0.6183203594376325,103.6810668148354,0.6353646353646354,0.40535372848948376
logistic,18,0.6178164963403745,104.29226281427977,0.6353646353646354,0.4039377580184185
logistic,18,0.6178095464212195,104.29226281427977,0.6358641358641358,0.4041269841269841
logistic,18,0.6171327098834898,104.68120572301709,0.6358641358641358,0.4032309154260374
logistic,18,0.6171238127348979,104.68120572301709,0.6363636363636364,0.40341988600379985
logistic,18,0.6169917857369563,104.90345881372414,0.6363636363636364,0.40290955091714103
logistic,18,0.6169682370012785,104.90345881372414,0.6368631368631369,0.4030983243755928
logistic,18,0.6166222739926766,105.2368384497847,0.6368631368631369,0.40233512148942885
logistic,18,0.616584876880534,105.2368384497847,0.6373626373626373,0.4025236593059937
logistic,18,0.6156527672684764,105.95916099458259,0.6373626373626373,0.40087967326421614
logistic,18,0.6155271280214084,105.95916099458259,0.6378621378621379,0.4010678391959799
logistic,18,0.6153530135152181,106.18141408528963,0.6378621378621379,0.400564617314931
logistic,18,0.6152938002180416,106.18141408528963,0.6383616383616384,0.4007525870178739
logistic,18,0.6150570197611984,106.34810390331991,0.6383616383616384,0.40037593984962405
logistic,18,0.6149778993439918,106.34810390331991,0.6388611388611388,0.4005637331663013
logistic,18,0.6149032677571094,106.45923044867344,0.6388611388611388,0.4003129890453834
logistic,18,0.6148985286003756,106.45923044867344,0.6393606393606394,0.4005006257822278
logistic,18,0.6141837223070807,107.0704264481178,0.6393606393606394,0.3991269098846274
logistic,18,0.6141308399213877,107.0704264481178,0.6398601398601399,0.3993142144638404
logistic,18,0.6112423298091886,109.0707042644812,0.6398601398601399,0.39488286066584466
logistic,18,0.6111285399515705,109.0707042644812,0.6403596403596403,0.3950693374422188
logistic,18,0.6107578409534755,109.29295735518822,0.6403596403596403,0.3945829485995691
logistic,18,0.6106834304568116,109.29295735518822,0.6408591408591409,0.39476923076923076
logistic,18,0.6085953206941564,110.51534935407696,0.6408591408591409,0.3921149144254279
logistic,18,0.6085466543192384,110.51534935407696,0.6413586413586414,0.3923006416131989
logistic,18,0.6082150656211844,110.84872899013752,0.6413586413586414,0.39158279963403475
logistic,18,0.6080279928432445,110.84872899013752,0.6418581418581418,0.39176829268292684
logistic,18,0.6071089198147439,111.23767189887484,0.6418581418581418,0.39093398235473076
logistic,18,0.6069900676537534,111.23767189887484,0.6423576423576424,0.3911192214111922
logistic,18,0.6064007938452323,111.90443117099598,0.6423576423576424,0.3896969696969697
logistic,18,0.606351653355436,111.90443117099598,0.6428571428571429,0.38988185398364134
logistic,18,0.6060563328974675,112.07112098902627,0.6428571428571429,0.3895278450363196
logistic,18,0.6059115526790615,112.07112098902627,0.6433566433566433,0.3897125567322239
logistic,18,0.6047096605100456,112.84900680650092,0.6433566433566433,0.38806869539017774
logistic,18,0.6046284722256263,112.84900680650092,0.6438561438561439,0.3882530120481928
logistic,18,0.6038827389907521,113.73801916932909,0.6438561438561439,0.38639088729016785
logistic,18,0.6038780172426699,113.73801916932909,0.6443556443556444,0.386574767755469
logistic,18,0.6016300604001089,115.4049173496319,0.6443556443556444,0.3831303831303831
logistic,18,0.6015187130140359,115.4049173496319,0.6448551448551448,0.3833135391923991
logistic,18,0.599725899123721,116.84956243922768,0.6448551448551448,0.38037713612256924
logistic,18,0.5996817327677311,116.84956243922768,0.6453546453546454,0.38055964653902796
logistic,18,0.5995447000419835,117.01625225725796,0.6453546453546454,0.3802236609770453
logistic,18,0.5995264426072635,117.01625225725796,0.6458541458541458,0.38040600176522504
logistic,18,0.5994853848093462,117.12737880261149,0.6458541458541458,0.3801822993237283
logistic,18,0.5993153815878369,117.12737880261149,0.6463536463536463,0.3803644914756026
logistic,18,0.5988391283683564,117.51632171134881,0.6463536463536463,0.3795834555588149
logistic,18,0.5986876916202906,117.51632171134881,0.6468531468531469,0.37976539589442815
logistic,18,0.5983143315080574,118.18308098346994,0.6468531468531469,0.3784336645236704
logistic,18,0.5982995896629522,118.18308098346994,0.6473526473526473,0.37861524978089395
logistic,18,0.5976069518790793,118.62758716488402,0.6473526473526473,0.37773243952200525
logistic,18,0.5975872573805144,118.62758716488402,0.6478521478521478,0.3779137529137529
logistic,18,0.597173135553943,119.0720933462981,0.6478521478521478,0.37703488372093025
logistic,18,0.5970776656735388,119.0720933462981,0.6483516483516484,0.37721592560302236
logistic,18,0.5960154614638546,119.96110570912627,0.6483516483516484,0.37547006074631184
logistic,18,0.5960143682442605,119.96110570912627,0.6488511488511488,0.37565066512434936
logistic,18,0.5953577396269064,120.51673843589388,0.6488511488511488,0.3745674740484429
logistic,18,0.5953511536425974,120.51673843589388,0.6493506493506493,0.37474776592678005
logistic,18,0.5929781709368005,122.40588970690375,0.6493506493506493,0.3711104767342278
logistic,18,0.5929210403147518,122.40588970690375,0.6503496503496503,0.37146932952924394
logistic,18,0.5925501877220957,122.7392693429643,0.6503496503496503,0.3708345200797494
logistic,18,0.5925263624380414,122.7392693429643,0.6508491508491508,0.3710136674259681
logistic,18,0.5920680704268144,123.01708570634811,0.6508491508491508,0.37048620983793007
logistic,18,0.5920456864318416,123.01708570634811,0.6513486513486514,0.3706651506537806
logistic,18,0.5920342786403291,123.07264897902488,0.6513486513486514,0.3705598181301506
logistic,18,0.5918325079678798,123.07264897902488,0.6518481518481518,0.37073863636363635
logistic,18,0.5893280520022942,124.96180025003474,0.6518481518481518,0.3671918964546989
logistic,18,0.5892838266618252,124.96180025003474,0.6523476523476524,0.36736990154711674
logistic,18,0.5888908964298524,125.35074315877206,0.6523476523476524,0.3666479505895564
logistic,18,0.5888482987880107,125.35074315877206,0.6528471528471529,0.366825708672467
logistic,18,0.5876684123709398,126.35088206695376,0.6528471528471529,0.3649818486456297
logistic,18,0.5876433560603928,126.35088206695376,0.6533466533466533,0.36515912897822445
logistic,18,0.5849789092643568,128.74010279205447,0.6533466533466533,0.36082758620689653
logistic,18,0.5849474283864351,128.74010279205447,0.6538461538461539,0.361003861003861
logistic,18,0.584380005887038,129.40686206417558,0.6538461538461539,0.3598130841121495
logistic,18,0.5842954148474089,129.40686206417558,0.6543456543456544,0.35998900796922234
logistic,18,0.5834569414758577,130.240311154327,0.6543456543456544,0.3585112205801861
logistic,18,0.5834434733596494,130.240311154327,0.6548451548451548,0.35868673050615596
logistic,18,0.5833109905475459,130.46256424503403,0.6548451548451548,0.3582946160153047
logistic,18,0.5831653170087736,130.46256424503403,0.6553446553446554,0.3584699453551913
logistic,18,0.5813788726264268,132.01833587998334,0.6553446553446554,0.3557483731019523
logistic,18,0.5813393370488849,132.01833587998334,0.6563436563436563,0.35609756097560974
logistic,18,0.5812931120285484,132.12946242533687,0.6563436563436563,0.35590465872156013
logistic,18,0.5812435920656381,132.12946242533687,0.6568431568431569,0.3560790685079881
logistic,18,0.5794969990589638,133.6296707876094,0.6568431568431569,0.353494623655914
logistic,18,0.5793687042684752,133.6296707876094,0.6573426573426573,0.35366836871808655
logistic,18,0.5790382161498273,134.07417696902348,0.6573426573426573,0.3529096272459104
logistic,18,0.5789520031624784,134.07417696902348,0.6583416583416584,0.353256499597963
logistic,18,0.5787651653264333,134.68537296846785,0.6583416583416584,0.3522180652057723
logistic,18,0.5787405362700575,134.68537296846785,0.6588411588411588,0.3523911301095378
logistic,18,0.575169398300597,138.18585914710377,0.6588411588411588,0.3465580662112454
logistic,18,0.5751655588290558,138.18585914710377,0.6593406593406593,0.3467297084318361
logistic,18,0.5746752019293989,138.68592860119463,0.6593406593406593,0.34591194968553457
